id,rougeL_Model1_API_Llama70B,rougeL_Model2_Finetuned_Gemma2B,rougeL_Model3_RAG_Gemma2B
EStG-23-001,0.15384615384615383,0.06324110671936758,0.13953488372093023
EStG-23-002,0.2421052631578947,0.12451361867704282,0.1111111111111111
EStG-23-003,0.24277456647398846,0.09411764705882353,0.1714285714285714
EStG-23-004,0.25136612021857924,0.152,0.15300546448087432
EStG-23-005,0.21621621621621623,0.12244897959183673,0.19387755102040813
EStG-23-006,0.1485148514851485,0.09701492537313433,0.08421052631578949
EStG-23-007,0.2341463414634146,0.199203187250996,0.19827586206896552
EStG-23-008,0.1941747572815534,0.14285714285714285,0.10344827586206896
EStG-23-009,0.14285714285714285,0.13008130081300814,0.17142857142857143
EStG-23-010,0.1559633027522936,0.08239700374531836,0.1137440758293839
EStG-23-011,0.19,0.14977973568281938,0.2209302325581395
EStG-23-012,0.186046511627907,0.1328125,0.1416666666666667
EStG-23-013,0.17674418604651165,0.11023622047244094,0.10945273631840795
EStG-23-014,0.2976744186046511,0.18110236220472442,0.28235294117647053
EStG-23-015,0.14814814814814814,0.09523809523809525,0.11214953271028036
EStG-23-016,0.16470588235294117,0.14592274678111586,0.22666666666666668
EStG-23-017,0.20657276995305165,0.1422924901185771,0.18518518518518517
EStG-23-018,0.25380710659898476,0.10699588477366256,0.11981566820276497
EStG-23-019,0.1372549019607843,0.10743801652892561,0.15525114155251143
EStG-23-020,0.1691542288557214,0.18250950570342206,0.1422222222222222
EStG-23-021,0.10638297872340426,0.06493506493506494,0.10869565217391304
EStG-23-022,0.09142857142857143,0.058536585365853655,0.06060606060606061
EStG-23-023,0.14965986394557823,0.10300429184549355,0.16071428571428573
EStG-23-024,0.08,0.10416666666666667,0.11214953271028039
EStG-23-025,0.06486486486486487,0.06862745098039216,0.050314465408805034
EStG-23-026,0.1111111111111111,0.05405405405405406,0.09722222222222222
EStG-23-027,0.10218978102189781,0.08187134502923976,0.11023622047244094
EStG-23-028,0.10869565217391305,0.09523809523809523,0.12903225806451613
EStG-23-029,0.189873417721519,0.09345794392523366,0.1651376146788991
EStG-23-030,0.11688311688311688,0.06936416184971098,0.07575757575757576
EStG-23-031,0.08433734939759037,0.04878048780487805,0.10344827586206896
EStG-23-032,0.1333333333333333,0.05102040816326531,0.1443298969072165
EStG-23-033,0.17241379310344826,0.08333333333333333,0.12030075187969926
EStG-23-034,0.15384615384615385,0.06926406926406926,0.1360544217687075
EStG-23-035,0.055172413793103454,0.059701492537313425,0.11688311688311688
EStG-23-036,0.15584415584415584,0.07239819004524886,0.04477611940298507
EStG-23-037,0.0962566844919786,0.0673076923076923,0.06944444444444445
EStG-23-038,0.0903954802259887,0.06999999999999999,0.09230769230769231
EStG-23-039,0.10362694300518135,0.060606060606060615,0.09696969696969697
EStG-23-040,0.08888888888888889,0.0982142857142857,0.125
EStG-23-041,0.16267942583732056,0.06993006993006994,0.11016949152542373
EStG-23-042,0.2185792349726776,0.12096774193548386,0.15384615384615383
EStG-23-043,0.15813953488372093,0.11428571428571427,0.1320754716981132
EStG-23-044,0.1411764705882353,0.09271523178807947,0.11049723756906076
EStG-23-045,0.1744186046511628,0.07142857142857142,0.17073170731707318
EStG-23-046,0.21176470588235297,0.11965811965811966,0.1616161616161616
EStG-23-047,0.21301775147928995,0.1708542713567839,0.19753086419753085
EStG-23-048,0.1696969696969697,0.11475409836065573,0.13793103448275862
EStG-23-049,0.18274111675126903,0.096,0.1506849315068493
EStG-23-050,0.12631578947368421,0.10116731517509728,0.13658536585365855
EStG-23-051,0.08910891089108912,0.061135371179039305,0.07511737089201878
EStG-23-052,0.1262135922330097,0.10434782608695653,0.14285714285714282
EStG-23-053,0.09782608695652176,0.08064516129032258,0.08333333333333333
EStG-23-054,0.10837438423645321,0.0847457627118644,0.12264150943396228
EStG-23-055,0.13402061855670103,0.15261044176706828,0.1090909090909091
EStG-23-056,0.11640211640211641,0.08264462809917356,0.12972972972972974
EStG-23-057,0.16949152542372883,0.07758620689655174,0.08860759493670885
EStG-23-058,0.16580310880829016,0.1297709923664122,0.15853658536585366
EStG-23-059,0.09137055837563453,0.08695652173913043,0.11904761904761903
EStG-23-060,0.125,0.11206896551724138,0.18633540372670807
